,content
129,"지난 6일 촬영한 GS건설의 검단신도시 아파트 건설현장. 지난 4월 사고가 발생한 구역이 가려져 있다. 연합뉴스
<br/> 인천 검단 아파트 건설현장 지하주차장 붕괴사고로 인해 불거진 'LH 전관특혜' 의혹과 관련해, 경제정의실천시민연합(경실련)이 감사원에 감사를 청구한다고 밝혔다. <br/> <br/> 경실련은 31일 오전 서울 종로구 감사원 앞에서 기자회견을 열고 ""(검단아파트) 공사의 설계·감리를 맡은 업체가 LH 전관 영업업체""라며 ""감사원은 발주에서 시공 단계까지 철저히 감사하라""고 요구했다. <br/> <br/> 경실련은 ""LH 출신을 영입한 건설업체들이 그간 사업수주 과정에서 혜택을 받았고, LH가 이들의 부실한 업무처리를 방치하면서 붕괴사고까지 발생했다""고 주장했다. <br/> <br/> 그러면서 ""전관영입업체 부실설계 봐주기, 전관영입업체 부실감리 봐주기, 공공사업 전관영입업체 밀어주기 등에 대해 이날 감사원에 감사를 청구한다""고 발표했다. <br/> <br/> 이들은 또 ""감사원은 LH 설계용역 수의계약과 건설사업관리용역 종합심사낙찰제(종심제) 과정에서 불공정한 평가가 벌어졌는지 확인하고 공정한 평가체계가 만들어지도록 시정을 강력히 권고해야 한다""고 꼬집었다. <br/> <br/> 아울러 감사원이 LH 뿐 아니라 모든 퇴직공직자에 대한 전관특혜 근절 방안을 제시하고 정부와 국회는 붕괴사고 재발방지를 위한 직접시공제 전면 확대 실행 방안을 수립해야 한다고 요구했다. <br/> <br/> 앞서 2021년 경실련은 2015∼2020년 LH 설계용역 수의계약 536건, 건설사업관리용역 경쟁입찰 290건에 대한 수주현황 분석결과 LH 전관영입업체 47곳이 용역의 55.4％(297건), 계약금액의 69.4％(6천582억원)를 수주했다고 발표했다. <br/> <br/> 한편 국토교통부는 지난 30일 '공공주택 긴급 안전점검회의'를 열고 인천 검단의 신축 아파트 지하주차장 붕괴사고 원인으로 꼽히는 '철근 누락'이 다른 아파트 단지에서도 무더기로 확인됐다고 밝혔다. <br/> <br/> 91개 LH 발주단지에 대한 전수조사 결과, 15개 아파트단지 지하주차장에 '전단 보강근'이 제대로 설치되지 않은 것으로 드러났다."
130,"듀오 세븐어스(SEVENUS)가 31일 오전 서울 강남구 일지아트홀에서 진행된 데뷔 앨범 싱글 1집 ‘썸어스(SUMMUS)’ 쇼케이스에서 타이틀곡 무대를 선보이고 있다. 김규빈 기자
듀오 세븐어스(SEVENUS)가 31일 오전 서울 강남구 일지아트홀에서 진행된 데뷔 앨범 싱글 1집 ‘썸어스(SUMMUS)’ 쇼케이스에서 타이틀곡 무대를 선보이고 있다. <br/> <br/><br/> <br/> <br/><br/> 타이틀곡 ‘원더랜드(Wonder Land)’는 팬들의 사랑으로 다시 한 번 기회를 얻은 세븐어스의 이야기를 여름 밤의 신비로움에 빗대어 표현했다. <br/> <br/><br/> <br/> <br/><br/> ‘썸어스’는 이날 정오 각종 음원 사이트를 통해 공개된다."
131,"(세종=뉴스1) 김기남 기자 = 정정훈 기획재정부 조세총괄정책관이 21일 오후 세종시 정부세종청사에서 2022년도 세제개편 후속 시행규칙 개정 주요 사항을 발표하고 있다. 2023.2.22/뉴스1 Copyright (C) 뉴스1. All rights reserved. 무단 전재 및 재배포 금지.
[머니투데이 세종=유재희 기자] <br/>올해 상반기(1~6월) 누계 국세수입은 178조원 수준으로 전년동기 대비 40조원가량 줄었다. 역대 최대 감소폭이다. 법인세·소득세 등을 중심으로 세수가 급감한 영향이다. <br/><br/>세입 목표 대비 실적을 보여주는 세수진도율도 역대급으로 부진하다. 세수진도율은 45%로 전년동기 대비 10%포인트(p) 넘게 낮은 수준이다. <br/><br/>기획재정부가 31일 발표한 '2023년 6월 국세수입 현황'에 따르면 지난 1~6월 국세수입은 178조5000억원으로 전년동기 대비 39조7000억원 감소했다. 이러한 세수 감소폭은 역대 최대다. 6월 한 달만 보면 국세수입은 18조4000억원으로 전년동월 대비 3조3000억원 감소했다.<br/><br/>올해 들어 6월까지 세수진도율은 44.6%로 전년동기(55.1%) 대비 10.5%p 낮다. 최근 5년 평균(2018~2022년·53.2%)과 비교해도 크게 저조하다. 지난달 기준 세수진도율은 2000년 이후 최저다.<br/><br/>1~6월 국세수입을 세목별로 보면 법인세는 46조7000억원 걷혔다. 지난해 기업의 영업이익 감소, 중간예납에 따른 기납부세액 증가 등을 요인으로 전년동기 대비 16조8000억원 감소했다. 다만 6월 한 달만 보면 전년동기 대비 5000억원 증가했다. 로열티 지급, 고금리 등을 이유로 원천분이 증가한 것이 요인이다.<br/><br/>소득세는 57조9000억원으로 부동산 거래 감소에 따른 양도소득세 감소, 종합소득세 기저효과(2021년 기준 소규모 자영업자 중간예납 납기연장) 등에 따라 전년동기 대비 11조6000억원 줄었다. 소득세 가운데서 양도세는 1조원 줄어든 9000억원 걷히는 데 그쳤다.<br/><br/>부가가치세는 전년동기 대비 4조5000억원 감소한 35조7000억원 걷혔다. 올해 전반적인 수입량 감소 흐름과 환율 안정을 요인으로 줄었다. 세정지원 기저효과(-3조4000억원)도 영향을 줬다. 관세는 3조5000억원 걷혔다. 이 또한 글로벌 교역망 위축 등 영향으로 2조원 줄었다. 교통에너지환경세는 5조3000억원 걷혔다. 유류세 한시 인하 등에 따라 7000억원 감소했다.<br/><br/>정부는 세정지원에 따른 기저효과(-10조2000억원)를 고려하면 1~6월의 실질적인 세수감소폭은 29조5000억원 수준이라고 밝혔다. 구체적으로 세수감소폭은 △종합소득세 2조4000억원 △법인세 △1조6000억원 △부가가치세 △3조4000억원 △기타 △2조8000억원 등이다.<br/><br/>정정훈 기재부 세제실장은 ""전반적으로 올해 6월까지 세수 흐름은 상반기에 어려웠던 경제 상황들이 반영되면서 감소세를 지속하고 있는 상황""이라고 설명했다."
132,"-교통대 총학생회 학생들이 서해안 해변가에서 환경정화활동을 벌이고 있다.
［충북일보］ 한국교통대학교 제40대 총학생회는 31일 2023학년도 국토대장정의 일환으로 서해안 해변가 환경정화를 진행했다. <br/><br/>이번 환경정화는 서해안 갯벌을 보존하고 홍보하는 체험을 통해 해양환경 보전을 목표로 진행하는 국토대장정의 일환으로 이뤄졌다. <br/><br/>총학생회 10명과 재학생 20명이 서천의 띠섬목 해변, 군산의 새만금방조제, 고창의 장호갯벌어촌계, 해남땅끝송호마을 등을 돌며 해양 환경정화 및 보전을 위한 활동을 실시했다. <br/><br/>윤승조 총장은 ""우리 학생들이 국토대장정의 일환으로 바다의 소중함을 알리고, 깨끗한 해양환경을 위한 환경정화를 진행한 것에 대해 감사하게 생각한다""며 ""앞으로도 생태환경에 관심을 갖고, 지역과 함께하는 교통대 학생이 됐으면 한다""고 말했다. <br/><br/> 충주 / 윤호노기자"
133,더불어민주당이 스타트업의 기술탈취 피해를 예방하기 위해 징벌적 손해배상을 ‘최대 10배’ 강화하는 법안을 추진한다. 앞서 국민의힘과 정부가 띄운 ‘최대 5배’ 강화안을 크게 웃도는 방안이다. 여야가 스타트업 기술보호 공감대를 형성하면서 연내 법안 처리 가능성에 관심이 모아진다. <br/> <br/> 31일 헤럴드경제의 취재에 따르면 국회 산업통상자원중소벤처기업위원회 야당 간사인 김한정 민주당 의원은 스타트업으로부터 기술을 탈취한 기업에게 피해액의 최대 10배에 해당하는 손해배상을 물을 수 있도록 하는 ‘대·중소기업 상생협력 촉진에 관한 법률(이하 상생협력법) 개정안’을 추진 중이다. 의원실 관계자는 “현재 법제실 검토 중으로 8월 중 발의할 예정”이라고 말했다. <br/> <br/> 현행 상생협력법은 수·위탁거래 관계에서 발생한 기술탈취 행위에 대해 피해액의 ‘최대 3배’까지 배상하도록 규정하고 있다. 김 의원이 추진 중인 법안은 기술탈취 피해 예방과 구제의 실효성을 높이기 위해 이를 강화하는 게 골자다. <br/> <br/> 스타트업 기술탈취 피해에 대한 손해배상 강화 필요성은 여야 모두 공감하고 있는 상황이다. 지난 6월7일 국민의힘과 정부는 당정협의회를 열고 기술탈취에 대한 징벌적 손해배상을 ‘최대 5배’로 강화하는 안을 추진하겠다고 밝힌 바 있다. 김 의원실 관계자는 “민주당은 이전부터 손해배상 강화를 주장했지만 당시 다른 법과 형평성을 고려해야 한다는 의견이 있어 3배로 정해진 것”이라며 “최근 산업 환경이 급격하게 변하고 기술탈취로 인한 피해 사례가 늘어나고 있다. 3배나 5배는 실효성이 부족하다”고 주장했다. <br/> <br/> 개정안은 이르면 9월 정기국회에서 본격적으로 다뤄질 전망이다. 징벌적 손해배상을 최대 ‘몇 배’까지 물을 수 있도록 할지가 쟁점이 될 것으로 보인다. 대기업의 반발이 예상되지만 동시에 여야 공감대를 바탕으로 연내 통과를 기대하는 목소리도 나온다. 산자위 관계자는 지난해 11월 국회를 통과한 납품단가연동제를 거론하며 “여야가 취지에 공감하면서 정부안이 발의된 지 3개월 만에 통과된 사례다. (상생협력법도) 정기국회에서 처리될 가능성이 있다”고 말했다. 민주당 관계자도 “논의가 잘 이뤄질 경우 좋은 여야 협치 사례가 될 것”이라고 했다. <br/> <br/> 스타트업 업계도 개정안 논의를 환영하고 있다. 김진·양근혁 기자 <br/> <br/><br/> <br/> yg@heraldcorp.com
134,"지난해 일본 스미토모 상사가 운영권을 확보한 마다가스카르 암바토비 니켈 광산 플랜트. [스미토모상사 제공]
[헤럴드경제=원호연 기자] 미국이 첨단산업 공급망에서 중국 의존도를 낮추고 동맹국 중심으로 재편하는 가운데 일본의 종합상사가 재조명을 받고 있다. ‘원조격’인 일본 주요 상사들이 고도 성장기에 축적한 에너지 자원 확보 노하우가 빛을 발하면서다. ‘오마하의 현인’ 워런 버핏 버크셔해서웨이 회장도 “앞으로 100년을 넘어 영원히 살아남을 기업”이라며 일본 상사의 가치를 평가할 정도다. <br/> <br/> 버핏 회장은 이토추 상사를 비롯해 최근 일본 5대 종합상사의 보유 지분을 더 늘리며 일본 상사가 주목 받는데 가장 큰 몫을 했다. 그는 에너지 및 광물 투자에 잔뼈가 굵은 일본 종합상사들이 배터리 핵심 광물 공급망 재편에서 핵심적인 역할을 할 것이라며 높게 평가했다. <br/> <br/> 일본 종합상사들이 에너지 중심의 해외 자원 개발에 가속도를 내기 시작한 것은 2000년에 들어서다. 여기에 2004년 2월 출범한 자원개발 전문 독립행정법인인 에너지금속광물자원기구(JOGMEC)는 최대 75% 출자 및 채무보증 등 자금 지원과 지질탐사 등 기술·정보 지원 기능을 수행하며 민간 종합상사들의 자원 확보를 물심양면으로 지원했다. <br/> <br/> 특히 2006년 일본 정부가 원유의 자체 개발률을 2030년까지 40%로 높이겠다는 내용을 담은 ‘신국가 에너지 전략’을 발표하면서 일본 종합상사들의 보폭은 한층 넓어졌다. <br/> <br/> 해외 자원 개발 사업이 궤도에 오르면서 스미모토 상사와 미쯔비시상사, 미쯔이물산, 이토추상사, 마루베니 등 일본의 상위 5개 상사의 연결 순이익 합계가 2008년 1조엔을 돌파하기도 했다. <br/> <br/> 그러나 2015년을 전후해 종합상사들의 실적은 고꾸라지기 시작했다. 중국 경기 침체 우려로 원유 등 원자재 가격이 급락하고 칠레 구리광산 사업 실적 부진이 심화되는 등 경영환경이 악화됐기 때문이다. <br/> <br/> 자원 부문 비중이 높았던 미쓰비시상사와 미쓰이물산은 사상 처음으로 적자를 기록했고 만년 4위였던 이토추상사가 반사이익으로 1위를 차지했다. 이에 상사들은 생활용품, 식량, 소매업에 눈을 돌리며 사업다각화로 자원부문의 매출 비중을 꾸준히 낮춰왔다. <br/> <br/> 그러나 일본 상사가 다시 새로운 기회를 잡게 된 것은 2020년대 들어서며 전기차와 반도체 등 첨단 기술을 둘러싼 미국과 중국 간 경쟁과 갈등이 격화되면서다. 일각에서는 일본 종합상사가 공급망 갈등의 최대 수혜자라는 평까지 나온다. <br/> <br/> 지난해 6월 미국 정부는 청정에너지 전환에 필요한 핵심광물 공급망을 강화하기 위한 다자 협력 구상인 ‘핵심광물 안보 파트너십(MSP)’을 출범시켰다. 전기차 배터리를 비롯한 첨단 제품의 소재가 되는 희토류와 리튬, 니켈 등 핵심 광물 산업에서 80% 이상의 지배력을 갖고 있는 중국을 견제하기 위한 구상이다. <br/> <br/> 일본은 구상 초기부터 MSP에 적극 참여했다. 바이든 행정부가 추진하는 인플레이션 감축법(IRA)은 미국 또는 미국과 자유무역협정(FTA)를 맺은 우호 국가에서 생산한 배터리 핵심 광물을 일정 비율 이상 채용한 전기차에만 최대 7500달러의 보조금을 제공한다. 중국이 틀어쥐고 있던 리튬, 알루미늄, 니켈, 흑연 등 핵심 광물을 최대 자동차 시장에 공급할 기회가 일본에도 열리게 됐다. <br/> <br/> 일본 정부는 곧바로 미국 측과 상대국으로 수출하는 배터리 용 핵심 광물에 대해 수출 관세를 부과하지 않겠다는 내용을 골자로 하는 협정을 맺었다. <br/> <br/> 이에 발맞춰 일본 종합상사들은 친환경 부문과 전기차 배터리용 광물 부문 사업 진출에 박차를 가하며 자원 개발 부문의 비중을 다시 늘려가고 있다. <br/> <br/> 미쯔비시상사는 2022~2024년도 투자계획에서 현재 30% 수준인 재생에너지와 배터리용 광물 부문의 비중을 50%대까지 높이기 위해 향후 3년간 총 3조엔을 투자한다고 밝혔다. 미쓰이 물산 역시 수소 등 친환경 발전과 리튬·니켈 등 배터리 광물 투자를 늘려가기로 했다. 스미토모상사와 이토추 상사 역시 지멘스, 보쉬 등과 제휴해 폐배터리를 활용한 에너지저장장치(ESS) 사업과 배터리 리사이클 사업에 착수했다. <br/> <br/> 이미 해외 광물 개발에서 가시적인 성과를 내고 있는 상사들도 있다. <br/> <br/> 소지쯔 상사는 JOGMEC과 손을 잡고 디스프로슘, 테르슘 등 희토류 생산량의 최대 65%를 일본에 공급하는 조건으로 호주 라이너스사에 약 2억호주달러를 출자했다. 라이너스는 서호주 마운트 웰드 광산에서 채굴한 희토류 광석을 중국 기업에 위탁해 정련해 왔지만 중국에 의존하지 않는 공급망을 새로 구축해 일본에 공급한다. <br/> <br/> 스미토모 상사는 지난해 세계 3대 니켈 광산인 마다가스카르 암바토비 광산의 지분 54.18%를 확보하며 최대 주주로 올라섰다. 최근 주요 배터리 업체들이 에너지 효율을 높여 전기차의 주행거리를 늘리고 안정성을 높이기 위해 하이니켈 리튬이온 배터리 생산에 박차를 가하고 있는 것을 감안한 포석이다. <br/> <br/> 마루베니는 미국의 서바 솔루션에 5000만달러를 투자해 폐기된 배터리에서 핵심광물을 회수하는 사업을 시작했다. <br/> <br/> 이코노미스트지는 “일본 종합상사는 1950년대부터 1980년대까지 에너지, 금속 및 광물을 찾기 위해 세계를 샅샅이 뒤지며 일본의 경제 발전을 뒷받침하는 중개자 역할을 했다”며 미중 갈등으로 촉발된 글로벌 공급망 재편과정에서도 일본 종합상사의 역할이 커질 것으로 내다봤다. <br/> <br/> <br/> <br/> <br/> <br/><br/> <br/> why37@heraldcorp.com"
135,"[헤럴드경제=홍태화 기자] 해양수산부가 9월 한 달간 섬 지역 주민들의 택배 요금에 대한 추가 배송비를 지원한다. 추석 민생안정을 위해서다. <br/> <br/> 해수부는 지원 대상과 신청 기간, 지원 금액, 지원금 지급일자 등 자세한 내용을 각 지자체에서 별도로 안내할 예정이라며 31일 이같이 밝혔다. 이를 위해 지자체별로 8월부터 미리 섬 주민들에게 지원사업을 설명하고 신청서를 받을 계획이다. <br/> <br/> 섬 지역 주민들은 택배를 이용할 때마다 기본요금 외에 별도의 추가 배송비를 3000∼1만원 가까이 지불해야 해 비용 부담이 큰 상황이다. <br/> <br/> 추가 배송비를 지원받고자 하는 섬 주민은 지자체별 신청 기간에 따라 거주하고 있는 읍·면·동 행정복지센터에 방문해 신청서를 제출하면 된다. 지자체는 택배 이용정보를 확인한 뒤 신청인의 계좌로 지원금을 지급할 계획이다. <br/> <br/><br/> <br/> th5@heraldcorp.com"
136,"8월1일 0시부터 선거운동 현수막·유인물을 아무 때나 제한 없이 배포할 수 있게 된다. 헌법재판소가 헌법불합치 결정을 내린 공직선거법 조항을 국회가 제때 손보지 않으면서 ‘법적 공백’이 발생한 것이다. 오는 10월 예정된 강서구청장 보궐선거를 앞두고 ‘선거운동 난립’을 우려하는 목소리가 나오는 가운데, 여야는 8월 임시국회에서 개정안을 반드시 통과시키겠다는 입장이다. <br/> <br/> 31일 헤럴드경제 취재를 종합하면 선거일 180일 전부터 선거운동과 관련한 현수막이나 화환, 유인물 등 광고물을 설치·진열·배부하는 행위를 금지한 공직선거법 제90조 1항과 이에 대한 처벌 조항은 8월1일 0시부터 효력을 잃는다. 같은 기간 정당·후보자를 명시한 벽보나 사진·그림·녹음테이프 등을 배부·살포하는 제93조 1항과 그 처벌 조항도 마찬가지다. 지난해 7월 헌법재판소가 해당 조항들에 헌법불합치 결정을 내리면서 올해 7월31일까지만 효력을 인정한다고 판결했지만, 국회가 시한 내 법을 개정하지 못했기 때문이다. <br/> <br/> 정치권에서는 오는 10월 치러지는 강서구청장 보궐선거를 앞두고 당장 우려의 목소리가 나온다. 각 정당별 경선이 시작되면 후보자뿐 아니라 지지자나 반대 진영에서도 마음대로 현수막을 걸거나 유인물을 뿌릴 수 있어서다. 상대를 비방하는 내용의 벽보를 게시하거나 음성 살포도 제한받지 않게 된다. <br/> <br/> 지난해 말 정당 현수막 제한을 없앤 개정 옥외광고물법 시행 직후 원색적인 문구를 담은 현수막이 전국 곳곳에 난립하며 시민들의 원성을 샀는데, 이를 뛰어넘는 사태가 발생할 수 있다는 지적이다. <br/> <br/> 이 같은 법적 공백이 발생한 건 여야가 뒤늦게 관련법 개정안 심사에 착수한 탓이 크다. 국회 정치개혁특별위원회는 이달 13일에야 시설물 설치 금지 기간을 ‘선거일 180일 전’을 ‘120일 전’으로 줄이는 내용이 담긴 개정안을 통과시켰는데, 여기에는 선거운동 기간 허용되는 모임 기준을 담은 조항(103조 3항) 개정 사안도 포함됐다. <br/> <br/> 정개특위는 향우회·종친회·동창회·단합대회·야유회 등 제한을 받는 모임은 그대로 두되, 참가인원이 ‘30명’을 초과할 때만 모임을 금지하도록 했다. <br/> <br/> 본회의 직전 마지막 문턱인 법제사법위 소속 여당 위원들은 모임 기준을 놓고 문제를 제기했다. <br/> <br/> 여야는 8월 말 본회의에서 개정안을 처리하겠다는 입장이다. 여당 원내지도부 핵심 관계자는 “이번 개정안이 통과되면 (부작용이 생기더라도) 내년 총선까지 고치기가 쉽지 않다”며 “정개특위에서 충분히 논의되지 못한 부분이 있어 추가 조정을 거친 뒤 8월 통과시킬 방침”이라고 말했다. <br/> <br/> 김진 기자 <br/> <br/><br/> <br/> soho0902@heraldcorp.com"
137,"내달 18일 미국에서 한미일 3국 정상회의가 개최된다. 큰 틀에서는 지난 27일 정전협정 체결 70주년을 맞아 북한이 개최한 이른바 ‘전승절’ 행사를 계기로 북중러가 ‘반(反)서방 연대’에 한층 격을 높인 ‘한미일 밀착 공조’로 맞대응하는 의미가 있다. <br/> <br/> 이외에도 우리로서는 8·15 광복절 직후 일본 총리와 정상회담을 하는 이례적인 상황이 연출된다. 일본이 8월 후쿠시마 제1원전 오염수 방출을 개시할 가능성이 높은 상황에서 이번 한미일 정상회의가 어떤 영향을 미칠지도 관전 포인트다. <br/> <br/> 한미 양국은 조 바이든 미국 대통령과 윤석열 대통령, 기시다 후미오(岸田文雄) 일본 총리는 내달 18일(현지시간) 워싱턴 DC 인근 메릴랜드주에 위치한 대통령 별장인 ‘캠프 데이비드’에서 정상회의를 개최한다고 공식 발표했다. 이번 정상회의는 지난 5월 일본 히로시마에서 열린 주요 7개국(G7) 정상회의 계기에 바이든 대통령이 한일 정상을 초청하면서 성사됐다. <br/> <br/> 백악관은 “미일, 한미 간 굳건한 동맹과 강력한 우정을 재확인하면서 3국 관계의 새로운 장을 축하하게 될 것”이라고 밝혔다. 대통령실은 “핵심가치를 공유하는 3국 간 협력을 새로운 수준으로 발전시켜 나갈 수 있는 중요한 전기가 될 것”이라고 밝혔다. <br/> <br/> 한미일 정상회의 개최 일자가 광복절 직후라는 점에 의미가 있다. 대한민국 대통령이 한반도가 일본 제국으로부터 독립한 의미를 되새기는 국경일을 축하한 직후 일본 총리와 대면하는 것이다. 윤석열 정부 출범 후 이어온 한일 관계 개선 흐름에 방점을 찍을 것으로 보인다. 바이든 대통령은 지난 29일(현지시간) “한국과 일본은 2차 대전으로부터 화해(rapprochement)를 했다”며 “근본적인 변화”라고 의미를 부여했다. <br/> <br/> 일본으로서는 8월 후쿠시마 제1원전 오염수 방출을 예고한 상황에서 한미일 정상회의를 통해 국제사회의 지지를 확보하는 데 방점을 둘 것으로 보인다. 일본의 최대 우방국인 미국과 오염수 방출에 중요한 여론을 형성하는 한국의 지지를 확보하는 것이 관건이다. 기시다 총리는 지난 5월 G7 정상회의를 자신의 지역구인 후쿠시마에서 개최하며 여론에 공을 들였다. 미국은 국제원자력기구(IAEA)가 일본의 오염수 방출 계획이 안전 기준에 부합한다는 보고서 직후 “일본이 개방적이고 투명하게 관리해 왔다”며 사실상 지지를 표했다. <br/> <br/> 미국으로서는 북한의 ‘전승절’을 계기로 전략적 공조를 과시한 북중러에 대응해 중국과 러시아를 견제하는 데 주력할 것으로 보인다. 이번 정상회의는 바이든 대통령 취임 후 첫 ‘캠프 데이비드 외교’ 일정이라는 의미가 있다. 미국 대통령과 가족들을 위한 전용 별장인 캠프 데이비드는 백악관보다 사적인 공간으로 친밀감을 상징한다. 또한 역사적으로 중요한 합의를 도출하거나 적대 국가와의 관계 개선을 이뤄낸 주요 외교의 장소로도 활용됐다. 우리나라 대통령으로서는 2008년 이명박 대통령 이후 두 번째 방문이다. <br/> <br/> 이번 정상회의에서는 ▷북핵 대응 공조 ▷아세안·메콩·태평양도서국 등 인도태평양 지역에서의 3국 협력 확대 방안 ▷공급망 협력 및 경제안보 ▷글로벌 현안 등 폭넓은 의제를 집중적으로 논의한다. 지난해 11월 발표한 ‘프놈펜 성명’ 수준의 공동성명이 발표될지 주목된다. <br/> <br/> 3국 관계의 ‘새로운 장’이라는 평가가 나오는 만큼 단독 한미일 정상회의가 정례화되는 방안이 논의될지 주목된다. 최은지 기자, 박상현 기자 <br/> <br/><br/> <br/> silverpaper@heraldcorp.com"
138,"박영수 전 특검 [연합뉴스 자료사진]
[1보] 검찰, '50억 클럽' 박영수 구속영장 재청구"
139,"광명시 탄소중립 정책, 매니페스토 기후환경 분야 우수상 수상./사진제공=광명시
[머니투데이 경기=권현수 기자] 경기 광명시 탄소중립 정책의 우수성이 다시 한번 인정받았다.<br/><br/>광명시는 한국매니페스토실천본부에서 주최한 '제13회 2023 전국 기초단체장 매니페스토 우수사례 경진대회'에서 기후환경분야 '우수상'에 선정됐다고 31일 밝혔다.<br/><br/>이 대회는 기초자치단체장 공약 이행 우수사례를 발굴해 확산하기 위한 대회로 한국매니페스토실천본부가 주최했다. <br/><br/>이번 대회에는 전국 226개 기초지자체 중 155개 자치단체가 364개의 우수사례를 공모했으며 1차 서류심사를 통과한 172개 사례가 본 대회에서 경연을 펼쳤다.<br/><br/>선정 분야는 광명시가 우수상을 차지한 기후환경 분야를 비롯해 △일자리 및 고용개선 완화 △인구 구조변화 대응 △디지털 혁신 선도 △지역문화 활성화 △공동체 강화 등 7개이다.<br/><br/>시는 '탄소중립 광명하다'를 주제로 시민이 주도하는 탄소중립 활동인 1.5℃ 기후의병, 기후의병 탄소중립 포인트 시행, 수소에너지 인프라구축, 제로에너지건축물 추진 등을 발표해 호평 받았다. <br/><br/>박승원 광명시장은 ""선도적인 기후 위기 대응 정책을 통해 탄소중립을 실천해온 광명시의 노력이 다시 한번 우수성을 인정받았다""고 평가하고 ""시정 역량을 더욱 집중하고 시민의 관심과 참여를 확대해 탄소중립도시를 반드시 실현하겠다""고 강조했다.<br/><br/>시는 탄소중립 실현을 위해 지난 7월6일 '2050 탄소중립도시 선포식'을 개최하고 6대 전략 100개 추진과제를 시행하고 있다. 6대 추진전략은 △탄소중립 인재 양성 및 인식 제고 △탄소중립 생태계 구축 및 강화 △광명형 탄소중립 성공모델 개발·확산 △탄소중립 선도 거점 구축 △시민 주도 탄소중립 활성화 △탄소중립 거버넌스 구축 및 지원이다."
140,"청소년들의 올림픽! '세계 스카우트 잼버리'란 무엇일까?<br/><br/>세계스카우트연맹이 4년마다 개최하는 전 세계적인 청소년 야영 축제 활동<br/><br/>'잼버리'의 의미는 북미 인디언들의 즐거운 놀이, 유쾌한 잔치라는 단어에서 유래<br/><br/>만 14세에서 만 17세 청소년의 스카우트 대원들만 참석 가능<br/><br/>1920년 영국에서 제1회 대회 개최, 4년마다 열리는 청소년들의 문화올림픽<br/><br/>잼버리 프로그램은 안전교육과 함께 전염병, 자연재해 등 비상사태를 방지하고 대비할 수 있도록 구성<br/><br/>각국의 청소년들이 야영생활을 통해 심신을 단련시키고 견문을 넓히며, 대자연의 질서를 배움으로써 건전한 민주시민의 자질을 향상시키고자 개최<br/><br/>제작 : 강보경<br/><br/>AD : 박채민<br/><br/>#세계 스카우트 잼버리 #새만금 #잼버리 #청소년 #스카우트 #문화올림픽 #즐거운 놀이 #유쾌한 잔치<br/><br/>YTN 강보경 (kangbk525@ytn.co.kr)<br/><br/>[퀴즈 이벤트] 매주 550명에게 커피 쿠폰을 드려요 〉<br/>대한민국 24시간 뉴스 채널 [YTN LIVE] 보기 〉<br/>뉴스 속 생생한 현장 스케치 [뉴스케치] 보기 〉"
141,"다음 달 18일 열리는 한미일 정상회담 의제로 일본 후쿠시마 제1원자력발전소 오염수 방류를 둘러싼 중국발 가짜 정보에 대한 대응책이 포함될 수도 있다고 산케이신문이 보도했습니다.<br/><br/>이 신문은 일본 정부가 중국발 가짜 정보에 대응하기 위해 한미와 협력을 강화하고 있다면서 한미일 정상회담에서도 중국 문제의 하나로서 의제에 오를 가능성이 있다고 예상했습니다.<br/><br/>이와 관련해 오노 히카리코 일본 외무성 외무보도관은 지난 26일 기자회견에서 ""미국과 한국을 비롯한 국제사회와 협력하면서 악질적인 허위 정보 확산에 필요한 대책을 취할 것""이라고 말했다고 산케이 신문은 전했습니다.<br/><br/>이어 중국에 동조하는 움직임이 정부 차원에서 확산하고 있지는 않지만, 화교권을 중심으로 중국의 선전이 효력을 발휘하면 일본산 식품에 소문 피해가 발생할 수 있다고 말했습니다.<br/><br/>지난 13일 아세안+3(한일중) 외교장관회의를 계기로 열린 양자 회담에서 일본과 중국은 원전 오염수 해양 방류 문제를 놓고 신경전을 벌였습니다.<br/><br/>중국은 일본산 수입 수산물에 대해 전면적인 방사선 검사를 개시하면서 사실상 수입 규제에 나서고 있습니다.<br/><br/><br/><br/><br/>YTN 김희준 (hijunkim@ytn.co.kr)"
142,"대장동 비리 일환인 '50억 클럽' 의혹을 수사하는 검찰이 박영수 전 특별검사 신병 확보에 다시 나섰습니다.<br/><br/>서울중앙지방검찰청 반부패수사1부는 오늘(31일) 특정경제범죄가중처벌법상 수재와 청탁금지법 위반 혐의로 박 전 특검 구속영장을 다시 청구했습니다.<br/><br/>이는 박 전 특검 첫 구속영장이 법원에서 기각된 지 한 달여 만입니다.<br/><br/>박 전 특검은 지난 2014년 우리은행 이사회 의장으로 있을 당시 대장동 일당 청탁을 들어주는 대가로 50억 원가량을 약속받고, 현금 8억 원을 수수한 혐의를 받습니다.<br/><br/>또, 국정농단 특별검사로 있던 2019년부터 재작년 사이 딸과 공모해 화천대유에서 11억 원을 받은 혐의도 적용됐습니다.<br/><br/>검찰은 앞서 박 전 특검 구속영장이 한 차례 기각되자, 박 전 특검 딸이 2016년 입사해 받은 돈이 사실상 박 전 특검을 보고 지급된 것으로 보고, 부녀에게 청탁금지법 위반 혐의를 적용해 보강 수사를 벌여왔습니다.<br/><br/><br/><br/><br/>YTN 송재인 (songji10@ytn.co.kr)"
